1580.0000			0.9628					
1560.0000			0.9535					
1540.0000			0.9559					
1520.0000			0.9377					
1500.0000			0.9191					
1480.0000			0.9739					
1460.0000			0.9077					
1450.0000				0.8716		0.8328		
1440.0000			0.9940					
1420.0000			0.9459					
1400.0000			0.9529	0.9673		0.8610		
1380.0000			0.9602					
1360.0000			0.9740					
1350.0000						0.8476		
1340.0000			0.8974					
1320.0000			0.8908					
1300.0000			0.9436	0.9476		0.8560		
1280.0000			0.9423					
1260.0000			0.8865					
1250.0000				0.9287		0.8949		0.9350
1240.0000			0.8851					
1220.0000			0.9634					
1200.0000			0.9419	0.8364		0.9039		0.9321
1180.0000		0.8816	0.9154					
1160.0000		0.8989	0.9462					
1150.0000				0.9119		0.8034		0.8933
1140.0000		0.9951	0.9082					
1120.0000		0.9219	0.9390					
1100.0000		0.9009	0.8816	0.9147		0.8460		0.9453
1080.0000		0.9209	0.8845					
1060.0000		0.9204	0.9161					
1050.0000				0.8939		0.8690		0.8843
1040.0000		0.9326	0.9182					
1020.0000		0.9256	0.9117					
1000.0000		0.8908	0.9103	0.8907		0.8402		0.9410
980.0000		0.9661	0.9220					
960.0000		0.9549	0.9143					
950.0000				0.8800		0.9076	0.9370	0.8520
940.0000		0.9099	0.9503					
920.0000		0.9324	0.8464					
900.0000		0.8976	0.9174	0.8893	0.8874	0.9078	0.9727	0.9459
880.0000		0.9247	0.8542					
860.0000		0.9528	0.9079					
850.0000				0.9862	0.9120	0.9266	0.9190	0.8669
840.0000		0.9008	0.9036					
820.0000		0.9950	0.9574					
800.0000		0.9056	0.8521	0.8863	0.9170	0.8935	0.9135	0.8657
780.0000		0.8819	0.9022					
760.0000		0.9209	0.8875					
750.0000				0.9214	0.9221	0.8724	0.8892	0.9162
740.0000		0.9294	0.8666					
720.0000		0.8635	0.8816					
700.0000		0.8915	0.9244	0.9272	0.9151	0.8457	0.9551	0.9835
680.0000		0.9070	0.8774					
660.0000		0.9183	0.9341					
650.0000				1.0253	0.9175	0.9527	0.9130	0.9137
640.0000		0.8895	0.8875					
620.0000		0.9187	0.8748					
600.0000		0.9516	0.9103	0.8939	0.8746	0.9742	0.9046	0.9749
580.0000	0.9144	0.9141	0.8641					
560.0000	0.9059	0.8698	0.8696					
550.0000				0.8425	0.8893	0.9197	0.8971	0.8745
540.0000	1.0345	0.9005	0.9166					
520.0000	0.8771	0.9053	0.9041					
500.0000	0.9218	0.9017	0.8479	0.8991	0.9509	0.9223	0.8829	0.9312
480.0000	0.8567	0.9039	0.9429					
460.0000	0.8628	0.8906	0.9111					
450.0000				0.8033	0.8631	0.9132	0.8843	0.9134
440.0000	0.7888	0.8840	0.9617					
420.0000	0.7404	0.8940	0.8244					
400.0000	0.7798	0.8631	0.8643	0.9271	0.9310	0.9277	0.8016	0.9019
380.0000	0.8356	0.8748	0.8095					
360.0000		0.8896	0.8777					
350.0000				0.8838	0.8693	0.9841	0.8467	0.8225
340.0000	0.7319	0.8884	0.8675					
320.0000	0.7155	0.8723	0.8390					
300.0000	0.7206	0.8532	0.9212	0.7375	0.8929	0.9587	0.8453	0.8086
280.0000	0.6850	0.9539	0.8282					
260.0000	0.6904	0.8653	0.8283					
250.0000				0.7787	0.9593	0.9296	0.8316	0.8089
240.0000	0.6380	0.8482	0.8483		0.8626	0.7985	0.8202	0.8236
230.0000		0.8593			0.8697	0.7592	0.8737	0.8000
220.0000	0.5828	0.8364	0.8217		0.8231	0.7548	0.8598	0.8157
210.0000		0.8513			0.7759	0.7538	0.8927	0.8311
200.0000	0.6222	0.8346	0.8336	0.7927	0.8364	0.7374	0.8511	0.7814
190.0000		0.8312			0.8103	0.7273	0.8899	0.7798
180.0000	0.6341	0.8127	0.8300		0.8297	0.7121	0.8958	0.7598
170.0000		0.8000			0.7486	0.7433	0.8851	0.7667
160.0000	0.5641	0.8000	0.7748		0.8026	0.7300	0.8711	0.7595
150.0000		0.7881		0.7593	0.8117	0.6933	0.8916	0.8108
140.0000	0.5951	0.7762	0.7821		0.7664	0.6893	0.8713	0.7600
130.0000		0.7826			0.4715	0.6578	0.8817	0.7318
120.0000	0.5058	0.7644	0.7338		0.7485	0.6519	0.8960	0.7654
110.0000		0.7608			0.7854	0.6409	0.8761	0.7757
100.0000	0.4953	0.7661	0.7175	0.6736	0.6105	0.6059	0.8962	0.7798
90.0000		0.7296			0.7367	0.5474	0.8516	0.7139
80.0000	0.4952	0.7297	0.6310		0.6695	0.5763	0.8829	0.7331
70.0000		0.6708			0.5562	0.5285	0.8445	0.7118
60.0000	0.4615	0.6829	0.5008		0.6484	0.4749	0.8453	0.7220
50.0000		0.6553		0.5610	0.4673	0.4806	0.8010	0.6565
40.0000	0.3086	0.6220	0.2655		0.4747	0.3792	0.7495	0.6186
30.0000		0.4658			0.4124	0.2527	0.6881	0.5395
20.0000	0.2159	0.3124	0.0616		0.2698	0.1477	0.5678	0.3709
10.0000		0.0991			0.1736	0.0000	0.1171	0.0347
0.0000	0.0000	0.0000	0.0594	0.0901	0.0000	0.0000	0.0501	0.0000
