2900.0000		0.8371	0.9940			
2800.0000		0.8827	0.9578			
2700.0000		0.8594	0.9934			
2600.0000		0.8934	0.9643			
2500.0000		0.9042	0.9241			
2400.0000		0.8437	0.9243			
2300.0000		0.8244	0.9190			
2200.0000		0.8849	0.9361			
2100.0000		0.9000	0.9231			
2000.0000		0.8843	0.9410			
1900.0000		0.8867	0.9589			
1800.0000		0.7916	0.9270			
1700.0000		0.8892	0.9482			
1600.0000		0.8289	0.9524			
1500.0000		0.8281	0.9216			
1400.0000		0.8236	0.9087	0.8966		0.8813
1300.0000		0.8330	0.9188	0.9365		0.8946
1200.0000		0.8975	0.9140	0.8443		0.8686
1100.0000		0.8084	0.8933	0.9086		0.8615
1000.0000		0.7888	0.9213	0.8895		0.8619
900.0000		0.6920	0.9113	0.8895		0.8475
800.0000		0.7023	0.8892	0.8955		0.8650
780.0000	0.9286	0.8388	0.9219	0.8302	0.9054	
760.0000	0.9264	0.8685	0.9765	0.8088	0.8608	
740.0000	0.9280	0.8317	0.9385	0.8053	0.8607	
720.0000	0.9237	0.8754	0.9668	0.7813	0.8536	
700.0000	0.9059	0.9064	0.9575	0.7870	0.8897	0.8358
680.0000	0.8929	0.8389	0.9287	0.7733	0.8518	
660.0000	0.9110	0.8239	0.9513	0.7612	0.8475	
640.0000	0.9109	0.8394	0.9414	0.7900	0.8646	
620.0000	0.8978	0.8248	0.9156	0.7408	0.8448	
600.0000	0.8784	0.8005	0.9449	0.8533	0.8560	0.8415
580.0000	0.9200	0.7700	0.9453	0.7809	0.8648	0.9144
560.0000	0.8844	0.8032	0.9277	0.7422	0.8272	0.9059
540.0000	0.9032	0.8135	0.9523	0.7420	0.8713	1.0345
529.0000	0.9043	0.7391	0.9165	0.7251	0.7909	0.8771
500.0000	0.8816	0.7717	0.9614	0.7716	0.8096	0.9218
480.0000	0.8794	0.7240	0.9300	0.7290	0.7882	0.8567
460.0000	0.8726	0.6989	0.8823	0.7353	0.7920	0.8628
440.0000	0.8797	0.7485	0.8845	0.7968	0.8073	0.7888
420.0000	0.8588	0.7322	0.8489	0.7424	0.7538	0.7404
400.0000	0.8706	0.6911	0.8565	0.7333	0.7922	0.7798
380.0000	0.8511	0.7610	0.8429	0.7247	0.7657	0.8356
360.0000	0.7965	0.6877	0.8273		0.8025	
340.0000	0.8320	0.6487	0.8321	0.6907	0.7469	0.7319
320.0000	0.8368	0.6566	0.8257	0.6786	0.7179	0.7155
300.0000	0.8173	0.6659	0.8040	0.6731	0.6927	0.7206
280.0000	0.8145	0.6588	0.7709	0.6542	0.6956	0.6850
260.0000	0.7730	0.6372	0.7869	0.7102	0.6935	0.6904
240.0000	0.7432	0.5813	0.7270	0.7056	0.6534	0.6380
220.0000	0.7759	0.5622	0.7228	0.6574	0.6647	0.5828
200.0000	0.7694	0.4375	0.6673	0.5973	0.6236	0.6222
180.0000	0.7481	0.4363	0.6486	0.6284	0.6230	0.6341
160.0000	0.7270	0.4408	0.6066	0.5570	0.5649	0.5641
140.0000	0.6819	0.4418	0.6357	0.5174	0.5414	0.5951
120.0000	0.6791	0.4212	0.5196	0.5143	0.5177	0.5058
100.0000	0.6108	0.3685	0.4239	0.4710	0.4565	0.4953
80.0000	0.5727	0.3067	0.2997	0.4095	0.3867	0.4952
60.0000	0.5101	0.2134	0.1644	0.3359	0.3194	0.4615
40.0000	0.4102	0.1764	0.0943	0.2965	0.2261	0.3086
20.0000	0.2016	0.0990	0.0000	0.1515	0.0752	0.2159
0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
